brand,domain,sellers,how_decided
109F,109f.com,buyhatke,auto: name in address
Absolute Barbecues (Custom),absolutebarbecues.com,maximize,auto: name in address
Adani Meet and Greet,adanione.com,buyhatke;gyftr,auto: name in address
Adventra,adventrasports.com,gyftr,auto: name in address
Aeropostale BAGLINE,bagline.com,buyhatke;maximize,auto: name in address
Air India,airindia.com,gyftr,auto: name in address
Air India Domestic Gift Card,airindia.com,gyftr,auto: name in address
Air UK Route (1 Day Wait),airindia.com,buyhatke,auto: name in address
Airtel Xstream,airtelxstream.in,gyftr,auto: name in address
AJIO,ajio.com,gyftr,auto: name in address
Ajio Luxe,ajio.com,gyftr,auto: name in address
Aliste,alistetechnologies.com,buyhatke;gyftr;maximize,auto: name in address
Amala Earth,amala.earth,buyhatke,auto: name in address
Amazon,amazon.in,gyftr,auto: name in address
Amazon Fresh,amazon.in,buyhatke;gyftr,auto: name in address
Amazon Fresh Voucher,amazon.in,maximize,auto: name in address
Amazon Pay,amazon.in,buyhatke,auto: name in address
Amazon Prime 12 Months,amazon.in,buyhatke,auto: name in address
Amazon Prime Lite Edition,amazon.in,buyhatke;maximize,auto: name in address
Amazon Prime Membership,amazon.in,gyftr,auto: name in address
Amazon Prime Shopping Edition,amazon.in,buyhatke,auto: name in address
Amazon Prime Voucher - 12 months Membership,amazon.in,maximize,auto: name in address
Amazon Prime Voucher - 3 months Membership,amazon.in,maximize,auto: name in address
Amazon Shopping,amazon.in,buyhatke,auto: name in address
Amazon Shopping Voucher,amazon.in,gyftr;maximize,auto: name in address
AmazonPay (Gift Card),amazon.in,maximize,auto: name in address
American Eagle,aeo.in,buyhatke;maximize,checked by hand
Anita Dongre,anitadongre.com,buyhatke,auto: name in address
Apollo Diagnostics,apollo247.com,maximize,auto: name in address
APOLLO DIAGNOSTICS,apollodiagnostics.in,gyftr,auto: name in address
App Store Code,appstore.com,gyftr,auto: name in address
AppyHigh Prime,appyhigh.com,buyhatke;maximize,auto: name in address
Archies,archiesonline.com,buyhatke,auto: name in address
