confidence,brand,domain,source,other_candidates,slug,seller_page
high,109F,109f.com,buyhatke,,109f-gift-card,https://buyhatke.com/gift-cards/109f-gift-card
high,Air India,airindia.com,gyftr,,air-india,https://www.gyftr.com/air-india
high,Airtel Xstream,airtelxstream.in,gyftr,,airtel-xstream,https://www.gyftr.com/airtel-xstream
high,AJIO,ajio.com,gyftr,,ajio,https://www.gyftr.com/ajio
high,Amazon,amazon.in,gyftr,gftr.it,amazon,https://www.gyftr.com/amazon
high,Anita Dongre,anitadongre.com,buyhatke,,anita-dongre-gift-card,https://buyhatke.com/gift-cards/anita-dongre-gift-card
high,APOLLO DIAGNOSTICS,apollodiagnostics.in,gyftr,apollo247.com,apollo-diagnostics,https://www.gyftr.com/apollo-diagnostics
high,AZA Fashions,azafashions.com,buyhatke,,aza-fashions-gift-card,https://buyhatke.com/gift-cards/aza-fashions-gift-card
high,Bakingo,bakingo.com,gyftr,,bakingo,https://www.gyftr.com/bakingo
high,Bakingo,bakingo.com,buyhatke,,bakingo-gift-card,https://buyhatke.com/gift-cards/bakingo-gift-card
high,Beyoung,beyoung.in,gyftr,,beyoung,https://www.gyftr.com/beyoung
high,Beyoung,beyoung.in,maximize,brandpts.com,beyoung,https://www.maximize.money/gift-cards/Beyoung/498
high,Beyoung,beyoung.in,buyhatke,,beyoung-gift-card,https://buyhatke.com/gift-cards/beyoung-gift-card
high,BIBA,biba.in,gyftr,,biba,https://www.gyftr.com/biba
high,BIBA,biba.in,buyhatke,,biba-gift-card,https://buyhatke.com/gift-cards/biba-gift-card
high,BigBasket,bigbasket.com,gyftr,,bigbasket,https://www.gyftr.com/bigbasket
high,Bigbasket,bigbasket.com,maximize,,bigbasket,https://www.maximize.money/gift-cards/Bigbasket/1079
high,Bigbasket,bigbasket.com,buyhatke,,bigbasket-gift-card,https://buyhatke.com/gift-cards/bigbasket-gift-card
high,Birkenstock,birkenstock.in,maximize,birkenstock.com,birkenstock,https://www.maximize.money/gift-cards/Birkenstock/369
high,Birkenstock,birkenstock.in,buyhatke,,birkenstock-gift-card,https://buyhatke.com/gift-cards/birkenstock-gift-card
high,Blissclub,blissclub.com,gyftr,brandpts.com,blissclub,https://www.gyftr.com/blissclub
high,Blissclub,blissclub.com,maximize,,blissclub,https://www.maximize.money/gift-cards/Blissclub/712
high,Blissclub,blissclub.com,buyhatke,,blissclub-gift-card,https://buyhatke.com/gift-cards/blissclub-gift-card
high,Blue Tokai Coffee,bluetokaicoffee.com,buyhatke,cdn.razorpay.com | razorpay.com,blue-tokai-coffee-gift-card,https://buyhatke.com/gift-cards/blue-tokai-coffee-gift-card
high,Bluestone,bluestone.com,buyhatke,,bluestone-gift-card,https://buyhatke.com/gift-cards/bluestone-gift-card
high,Boditive,boditive.com,buyhatke,,boditive-gift-card,https://buyhatke.com/gift-cards/boditive-gift-card
high,BookMyShow,bookmyshow.com,maximize,,bookmyshow,https://www.maximize.money/gift-cards/BookMyShow/375
high,BrainGymJr,braingymjr.com,gyftr,,braingymjr,https://www.gyftr.com/braingymjr
high,BrainGymJr,braingymjr.com,buyhatke,,braingymjr-gift-card,https://buyhatke.com/gift-cards/braingymjr-gift-card
high,BuyWithEMI,buywithemi.com,maximize,nbuywithemi.com,buywithemi,https://www.maximize.money/gift-cards/BuyWithEMI/830
high,BuyWithEMI,buywithemi.com,buyhatke,,buywithemi-gift-card,https://buyhatke.com/gift-cards/buywithemi-gift-card
high,CAHOOT,cahoot.in,gyftr,campussutra.com,cahoot,https://www.gyftr.com/cahoot
high,Campus Sutra,campussutra.com,buyhatke,,campus-sutra-gift-card,https://buyhatke.com/gift-cards/campus-sutra-gift-card
high,CaratLane,caratlane.com,buyhatke,,caratlane-gift-card,https://buyhatke.com/gift-cards/caratlane-gift-card
high,CGH Earth,cghearth.com,maximize,,cgh-earth,https://www.maximize.money/gift-cards/CGH Earth/894
high,CGH Earth,cghearth.com,buyhatke,,cgh-earth-gift-card,https://buyhatke.com/gift-cards/cgh-earth-gift-card
high,Chicco,chicco.in,buyhatke,,chicco-gift-card,https://buyhatke.com/gift-cards/chicco-gift-card
high,Citizen Watches,citizenwatches.store,gyftr,citizenwatches.co.in,citizen-watches,https://www.gyftr.com/citizen-watches
high,Citizen Watches,citizenwatches.co.in,buyhatke,,citizen-watches-gift-card,https://buyhatke.com/gift-cards/citizen-watches-gift-card
high,CLAYCO,clayco.in,gyftr,,clayco,https://www.gyftr.com/clayco
high,CLAYCO,clayco.in,buyhatke,,clayco-gift-card,https://buyhatke.com/gift-cards/clayco-gift-card
high,Cleartax,cleartax.in,gyftr,clear.in | clr.tax,cleartax,https://www.gyftr.com/cleartax
high,Cleartax,cleartax.in,maximize,,cleartax,https://www.maximize.money/gift-cards/Cleartax/302
high,Cleartax,cleartax.in,buyhatke,,cleartax-gift-card,https://buyhatke.com/gift-cards/cleartax-gift-card
high,Cleartrip,cleartrip.com,gyftr,n13.in | n15.in,cleartrip-generic,https://www.gyftr.com/cleartrip-generic
high,Cleartrip,cleartrip.com,maximize,cleartripgcbal.qwikcilver.com | qwikcilver.com,cleartrip,https://www.maximize.money/gift-cards/Cleartrip/377
high,Cloud tailor,cloudtailor.in,buyhatke,,cloud-tailor-gift-card,https://buyhatke.com/gift-cards/cloud-tailor-gift-card
