brand,source,slug,seller_page
Absolute Barbecues,buyhatke,absolute-barbecues-gift-card,https://buyhatke.com/gift-cards/absolute-barbecues-gift-card
Affinity - Luzo Gift Card,gyftr,affinity-luzo-gift-card,https://www.gyftr.com/affinity-luzo-gift-card
Air India,maximize,air-india-409,https://www.maximize.money/gift-cards/Air India/409
Air India,buyhatke,air-india-gift-card,https://buyhatke.com/gift-cards/air-india-gift-card
Air India Ancillary,maximize,air-india-1089,https://www.maximize.money/gift-cards/Air India/1089
Air India Domestic,maximize,air-india-1148,https://www.maximize.money/gift-cards/Air India/1148
Airport Sim,maximize,airport-sim-1138,https://www.maximize.money/gift-cards/Airport Sim/1138
AJIO,maximize,ajio,https://www.maximize.money/gift-cards/Ajio/416
Ajio,buyhatke,ajio-gift-card,https://buyhatke.com/gift-cards/ajio-gift-card
Ajio Luxe,maximize,ajio-luxe-700,https://www.maximize.money/gift-cards/AJIO Luxe/700
Ajio Luxe,buyhatke,ajio-luxe-gift-card,https://buyhatke.com/gift-cards/ajio-luxe-gift-card
ALDO,buyhatke,aldo-gift-card,https://buyhatke.com/gift-cards/aldo-gift-card
Amazon,maximize,amazon-548,https://www.maximize.money/gift-cards/Amazon/548
Amazon Prime,buyhatke,amazon-prime-gift-card,https://buyhatke.com/gift-cards/amazon-prime-gift-card
Amazon Prime 3 months,buyhatke,amazon-prime-3-months-gift-card,https://buyhatke.com/gift-cards/amazon-prime-3-months-gift-card
Apollo Diagnostics,buyhatke,apollo-diagnostics-gift-card,https://buyhatke.com/gift-cards/apollo-diagnostics-gift-card
Apollo Healing,buyhatke,apollo-healing-gift-card,https://buyhatke.com/gift-cards/apollo-healing-gift-card
Apollo Pharmacy,gyftr,apollo-pharmacy,https://www.gyftr.com/apollo-pharmacy
Appreciate (1 Day Wait),buyhatke,appreciate-(1-day-wait)-gift-card,https://buyhatke.com/gift-cards/appreciate-(1-day-wait)-gift-card
Assembly,maximize,assembly,https://www.maximize.money/gift-cards/Assembly/258
Bagline,buyhatke,bagline-gift-card,https://buyhatke.com/gift-cards/bagline-gift-card
Bakingo,maximize,bakingo,https://www.maximize.money/gift-cards/Bakingo/493
Bath Body Works,buyhatke,bath-body-works-gift-card,https://buyhatke.com/gift-cards/bath-body-works-gift-card
Bblunt - Luzo Gift Card,gyftr,bblunt-luzo-gift-card,https://www.gyftr.com/bblunt-luzo-gift-card
Beer Cafe,buyhatke,beer-cafe-gift-card,https://buyhatke.com/gift-cards/beer-cafe-gift-card
Behrouz Biryani,gyftr,behrouz-biryani,https://www.gyftr.com/behrouz-biryani
Behrouz Biryani,maximize,behrouz-biryani,https://www.maximize.money/gift-cards/Behrouz Biryani/497
Behrouz Biryani,buyhatke,behrouz-biryani-gift-card,https://buyhatke.com/gift-cards/behrouz-biryani-gift-card
BGMI UC Official Voucher,maximize,bgmi,https://www.maximize.money/gift-cards/BGMI/1061
BIRYANI BY KILO,buyhatke,biryani-by-kilo-gift-card,https://buyhatke.com/gift-cards/biryani-by-kilo-gift-card
Black + Decker,gyftr,black-+-decker,https://www.gyftr.com/black-+-decker
Blinkit,maximize,blinkit-749,https://www.maximize.money/gift-cards/Blinkit/749
Blinkit,buyhatke,blinkit-gift-card,https://buyhatke.com/gift-cards/blinkit-gift-card
Blinkit Gift Card,gyftr,blinkit-gift-card,https://www.gyftr.com/blinkit-gift-card
Blue Tokai Coffe,maximize,blue-tokai-coffe,https://www.maximize.money/gift-cards/Blue Tokai Coffe/71
Boditive,maximize,boditive,https://www.maximize.money/gift-cards/Boditive/831
Body Craft Clinic,buyhatke,body-craft-clinic-gift-card,https://buyhatke.com/gift-cards/body-craft-clinic-gift-card
BookMyShow,buyhatke,bookmyshow-gift-card,https://buyhatke.com/gift-cards/bookmyshow-gift-card
Bounce - Luzo Gift Card,gyftr,bounce-luzo-gift-card,https://www.gyftr.com/bounce-luzo-gift-card
BPCL,buyhatke,bpcl-gift-card,https://buyhatke.com/gift-cards/bpcl-gift-card
Brooks Brothers Luxe,buyhatke,brooks-brothers-luxe-gift-card,https://buyhatke.com/gift-cards/brooks-brothers-luxe-gift-card
