brand,sellers,listing_active,where_voucher_works,website,how_confirmed,notes
 Paul Smith- Luxe Gift Card,gyftr,yes,store only,paulsmith.com,page loaded and checked 2026-09-17,
Abraham & Thakore- Luxe Gift Card,gyftr,yes,store only,abrahamandthakore.com,page loaded and checked 2026-09-17,
Abraham Thakore Luxe In Store,buyhatke,yes,store only,abrahamandthakore.com,page loaded and checked 2026-09-17,
Absolute Barbecues,buyhatke + maximize,yes,store only,absolutebarbecues.com,web search + terms: absolutebarbecues.com; buffet restaurant,
Absolute Barbecues In Store,buyhatke,yes,store only,absolutebarbecues.com,page loaded and checked 2026-09-17,
Absolute Barbeque,gyftr,yes,store only,absolutebarbecues.com,page loaded and checked 2026-09-17,
Adani Meet and Greet,gyftr,no,website,adanione.com,extension list (#26),
Adidas Kids Luxe In Store,buyhatke,yes,store only,adidas.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Adidas Kids-Luxe Gift Card,gyftr,yes,store only,adidas.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Adventra,gyftr,yes,website,adventrasports.com,extension list (#26),
Aeropostale BAGLINE,buyhatke,yes,website,bagline.com,extension list (#26),
Aeropostale In Store,buyhatke,yes,store only,,web search 2026-09-17,aeropostale.in has been taken over by a gambling site; in India the brand sells via Arvind's aeropostale.nnnow.com
Affinity - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Air India,buyhatke + gyftr + maximize,yes,website,airindia.com,extension list (#26),
Air India Add-ons,gyftr,yes,store only,airindia.com,site did not answer an automatic visit (2026-09-17),
Air India Domestic Gift Card,gyftr,yes,website,airindia.com,confirmed 2026-09-10: auto: name in address,
Air India Fly Rajasthan,gyftr,yes,store only,airindia.com,site did not answer an automatic visit (2026-09-17),
Airtel Xstream,gyftr,no,website,airtelxstream.in,extension list (#26),
AJIO,buyhatke + gyftr + maximize,yes,website,ajio.com,extension list (#26),
Ajio Luxe,buyhatke + gyftr + maximize,yes,website,ajio.com,confirmed 2026-09-10: auto: name in address,
ALDO,buyhatke + gyftr + maximize,yes,store only,aldoshoes.in,web search: aldoshoes.in; brand's terms: accepted at listed Inglot / Victoria's Secret / Bath & Body Works / R&B stores; Gyftr: CANNOT be used online,
ALDO In Store,buyhatke,yes,store only,aldoshoes.in,page loaded and checked 2026-09-17,
Aliste,buyhatke + gyftr + maximize,yes,website,alistetechnologies.com,extension list (#26),
Allen Solly,maximize,yes,store only,allensolly.abfrl.in,page loaded and checked 2026-09-17,
Allen Solly Gift Voucher,gyftr,no,store only,allensolly.abfrl.in,page loaded and checked 2026-09-17,
Allen Solly In Store,buyhatke,yes,store only,allensolly.abfrl.in,page loaded and checked 2026-09-17,
Amazon,gyftr + maximize,yes,website,amazon.in,extension list (#26),
Amazon Fresh,buyhatke + gyftr,yes,website,amazon.in,confirmed 2026-09-10: auto: name in address,
Amazon Shopping,buyhatke,yes,website,amazon.in,confirmed 2026-09-10: auto: name in address,
Amazon Shopping Voucher,gyftr,yes,website,amazon.in,confirmed 2026-09-10: auto: name in address,
American Eagle,buyhatke + maximize,yes,website,aeo.in,extension list (#26),
American Eagle Gift Voucher,gyftr,yes,store only,aeo.in,page loaded and checked 2026-09-17,
American Eagle In Store,buyhatke,yes,store only,aeo.in,page loaded and checked 2026-09-17,
American Tourister,gyftr + maximize,yes,store only,americantourister.in,page loaded and checked 2026-09-17,
American Tourister In Store,buyhatke,yes,store only,americantourister.in,page loaded and checked 2026-09-17,
APOLLO DIAGNOSTICS,buyhatke + gyftr + maximize,yes,website,apollo247.com,extension list (#26),
Apollo Healing,buyhatke,yes,website,apollopharmacy.in,web search: apollopharmacy.in; terms: Apollo Pharmacy online and stores,
Apollo Pharmacy,gyftr,yes,website,apollopharmacy.in,extension list (#26),
App Store Code,gyftr,no,website,apple.com,extension list (#26),
Apparel Group,gyftr,yes,store only,apparelgroup.in,page loaded and checked 2026-09-17,
Apple Premium 6M In Store 3 Day Wait,buyhatke,yes,store only,apple.com,page loaded and checked 2026-09-17,
Apple Premium In Store,buyhatke,yes,store only,apple.com,page loaded and checked 2026-09-17,
AppyHigh Prime,buyhatke + maximize,yes,website,appyhigh.com,extension list (#26),
Archies,buyhatke,yes,website,archiesonline.com,extension list (#26),
Archies Gallery,buyhatke + gyftr + maximize,yes,website,archiesonline.com,confirmed 2026-09-10: auto: name in address,
Armani Exchange Luxe In Store,buyhatke,yes,store only,armaniexchange.in,page loaded and checked 2026-09-17,
Armani Exchange-Luxe,buyhatke + maximize,yes,website,armaniexchange.in,"Luxe card terms (luxegiftcard.com/terms-and-conditions) list 8 brand sites where it works online: superdry.in, stevemadden.in, mothercare.in, gasjeans.in, dieselindia.com, armaniexchange.in, muji.in, sunglasshut.in",
Armani Exchange-Luxe Gift Card,gyftr,no,website,armaniexchange.in,extension list (#26),
Asia Seven Express,maximize,yes,store only,lbf.co.in,web search 2026-09-17,a Lite Bite Foods brand; no website of its own
Asia Seven Express In Store,buyhatke,yes,store only,lbf.co.in,web search 2026-09-17,a Lite Bite Foods brand; no website of its own
Assembly,buyhatke + gyftr + maximize,yes,website,assemblytravel.com,extension list (#26),
Aurelia,gyftr + maximize,yes,store only,shopforaurelia.com,page loaded and checked 2026-09-17,
Aurelia In Store,buyhatke,yes,store only,shopforaurelia.com,page loaded and checked 2026-09-17,
Auric,buyhatke + gyftr + maximize,yes,website,theauric.com,extension list (#26),
BAGLINE,buyhatke + maximize,yes,website,bagline.com,verified in Aug 2026 audit,
Bakingo,buyhatke + gyftr + maximize,yes,website,bakingo.com,extension list (#26),
Balenciaga Luxe In Store,buyhatke,yes,store only,balenciaga.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Bally Luxe In Store,buyhatke,yes,store only,bally.com,page loaded and checked 2026-09-17,
Bally-Luxe Gift Card,gyftr,yes,store only,bally.com,page loaded and checked 2026-09-17,
Barbeque Nation,gyftr + maximize,yes,store only,barbequenation.com,page loaded and checked 2026-09-17,
Barbeque Nation In Store,buyhatke,yes,store only,barbequenation.com,page loaded and checked 2026-09-17,
Barbeque Nation Value Voucher,gyftr,no,store only,barbequenation.com,page loaded and checked 2026-09-17,
Baskin Robbins,gyftr + maximize,yes,store only,baskinrobbinsindia.com,page loaded and checked 2026-09-17,
Baskin Robbins In Store,buyhatke,yes,store only,baskinrobbinsindia.com,page loaded and checked 2026-09-17,
Bata,gyftr + maximize,yes,store only,bata.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Bata In Store,buyhatke,yes,store only,bata.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Bath & Body Works,buyhatke + gyftr,yes,store only,bathandbodyworks.in,web search: bathandbodyworks.in; brand's terms: accepted at listed Inglot / Victoria's Secret / Bath & Body Works / R&B stores; Gyftr: CANNOT be used online,
Bath and Body Works,maximize,yes,store only,bathandbodyworks.in,page loaded and checked 2026-09-17,
Bath Body Works In Store,buyhatke,yes,store only,bathandbodyworks.in,page loaded and checked 2026-09-17,
Bblunt - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Bear House,buyhatke,yes,website,thebearhouse.com,extension list (#26),
Beer Cafe,gyftr,yes,store only,beercafe.in,page loaded and checked 2026-09-17,
Beer Cafe In Store,buyhatke,yes,store only,beercafe.in,page loaded and checked 2026-09-17,
Behrouz Biryani,buyhatke + gyftr + maximize,yes,website,behrouzbiryani.com,extension list (#26),
Beverly Hills Polo Club,gyftr + maximize,yes,store only,bhpcindia.com,page loaded and checked 2026-09-17,
Beverly Hills Polo Club In Store,buyhatke,yes,store only,bhpcindia.com,page loaded and checked 2026-09-17,
Beyoung,buyhatke + gyftr + maximize,yes,website,beyoung.in,extension list (#26),
BGMI,maximize,yes,website,battlegroundsmobileindia.com,extension list (#26),
BGMI UC Official Voucher,gyftr,yes,website,unipin.com,confirmed 2026-09-10: checked by hand,
BGMI UniPin,buyhatke,yes,website,unipin.com,confirmed 2026-09-10: checked by hand,
Bhima Jewellers - Coin,maximize,yes,store only,bhimagold.com,web search 2026-09-17,Bhima's gift card page says the card also works on bhimagold.com
Bhima Jewellers Coin In Store,buyhatke,yes,store only,bhimagold.com,web search 2026-09-17,Bhima's gift card page says the card also works on bhimagold.com
Bhima Jewellers Jewellery In Store,buyhatke,yes,store only,bhimagold.com,web search 2026-09-17,
Bhima Jewellery,maximize,yes,store only,bhimagold.com,web search 2026-09-17,
