matters_now,source,brand,slug,one_time_use,max_cards_per_order,works_online,spend_scope
YES,gyftr,Adani Meet and Greet,adani-meet-and-greet,not_stated,,yes,Adani Meet & Greet packages
YES,gyftr,Affinity - Luzo Gift Card,affinity-luzo-gift-card,not_stated,,not_stated,not_stated
YES,gyftr,AJIO,ajio,yes,,yes,not_stated
YES,gyftr,Ajio Luxe,ajio-luxe,yes,,yes,not_stated
YES,gyftr,Amazon,amazon,yes,,yes,not_stated
YES,gyftr,Amazon Fresh,amazon-fresh,yes,,yes,Eligible Amazon Fresh products on www.amazon.in/fresh only
YES,gyftr,Amazon Shopping Voucher,amazon-shopping-voucher,yes,,yes,Physical product categories on Amazon.in only
YES,gyftr,App Store Code,app-store-code,not_stated,,yes,not_stated
YES,gyftr,Barbeque Nation Value Voucher,barbeque-nation-value-voucher,not_stated,,no,not_stated
YES,gyftr,Behrouz Biryani,behrouz-biryani,yes,,yes,Online orders on the EatSure App/Web only
YES,gyftr,BGMI UC Official Voucher,bgmi-uc-official-voucher,not_stated,,yes,BGMI UC top-up on the UniPin platform
YES,gyftr,Black + Decker,black-+-decker,not_stated,,not_stated,not_stated
YES,gyftr,Blinkit Gift Card,blinkit-gift-card,yes,,yes,not_stated
YES,gyftr,BrainGymJr,braingymjr,yes,,yes,A BrainGymJr Plan subscription only
YES,gyftr,Discord,discord,yes,,yes,not_stated
YES,gyftr,Discovery Plus,discovery-plus,yes,,yes,a one-year subscription for new subscribers only
YES,gyftr,DPauls Travel & Tours,dpauls-travel-&-tours,yes,,yes,Flight bookings and Holiday Package bookings on https://dpauls.com
YES,gyftr,EazyDiner,eazydiner,yes,,yes,not_stated
YES,gyftr,Electricity Bill Payment,electricity-bill-payment,no,,yes,services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals
YES,gyftr,Enrich - Luzo Gift Card,enrich-luzo-gift-card,not_stated,,not_stated,not_stated
YES,gyftr,ExitLag,exitlag,yes,,yes,not_stated
YES,gyftr,Fastag Recharge,fastag-recharge,yes,,yes,services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals
YES,gyftr,Gaana,gaanaplus,yes,,yes,Gaana Plus premium subscription service
YES,gyftr,Gas Bill Payment,gas-bill-payment,not_stated,,yes,Services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals
YES,gyftr,Giva-Gold Jewellery,giva-gold-jewellery,yes,,yes,"Studded Gold Jewellery, Silver Jewellery, Perfumes, and Candles"
YES,gyftr,Giva-Silver Coin,giva-silver-coin,yes,,yes,999 pure silver coins
YES,gyftr,Giva-Silver Jewellery,giva-silver-jewellery,yes,,yes,"Eligible sterling silver items including rings, earrings, bracelets, and jewelry sets"
YES,gyftr,Health & Glow,health-and-glow,yes,,not_stated,not_stated
YES,gyftr,Hyperice,hyperice,yes,,yes,not_stated
YES,gyftr,INTERMILES,intermiles,no,,yes,not_stated
YES,gyftr,IOCL,iocl,yes,,no,Fuel purchases (Petrol / XP95 / XG / Diesel / XP100) at IOCL Retail Outlets only
YES,gyftr,JioSaavn,jiosaavn,not_stated,,not_stated,JioSaavn Pro Subscription
YES,gyftr,KALKI,kalki,yes,,yes,not_stated
YES,gyftr,Landline Bill Payment,landline-bill-payment,not_stated,,yes,Services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals
YES,gyftr,Libas,libas,yes,,yes,not_stated
YES,gyftr,Looks - Luzo Gift Card,looks-luzo-gift-card,not_stated,,not_stated,not_stated
YES,gyftr,"LUZO - Salons, Spas, Clinics",luzo,yes,,no,"Appointments at a hair salon, beauty salon, or salon and spa, and beauty services through the LUZO platform"
YES,gyftr,Mamaearth,mamaearth,yes,,yes,not_stated
YES,gyftr,Microsoft Xbox Game Pass Core,microsoft-xbox-game-pass-core,not_stated,,not_stated,not_stated
YES,gyftr,Microsoft Xbox PC Game Pass,microsoft-xbox-pc-game-pass,not_stated,,not_stated,not_stated
YES,gyftr,Mobile Postpaid - Bill Payment,mobile-postpaid-bill-payment,not_stated,,yes,services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals
YES,gyftr,Mobile Prepaid - Recharge,mobile-prepaid-recharge,not_stated,,yes,services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals
YES,gyftr,MS Xbox Game Pass Ultimate,ms-xbox-game-pass-ultimate,not_stated,,not_stated,not_stated
YES,gyftr,Nautica,nautica,yes,,no,not_stated
YES,gyftr,Ovenstory Pizza,ovenstory-pizza,not_stated,,not_stated,not_stated
YES,gyftr,Palmonas,palmonas,yes,,yes,not_stated
YES,gyftr,Shiva Organic,shiva-organic,not_stated,,yes,not_stated
YES,gyftr,Solara,solara,yes,,yes,not_stated
YES,gyftr,Sony Playstation,sony-playstation,yes,,yes,PlayStation Store purchases
YES,gyftr,Soulflower,soulflower,yes,,yes,not_stated
YES,gyftr,Swiggy Instamart,swiggy-instamart,yes,,yes,not_stated
YES,gyftr,Swiggy One Lite Membership,swiggy-one-lite-membership,not_stated,,not_stated,not_stated
YES,gyftr,Taj Experiences,taj-hotels,no,,no,"Spends on rooms, food and beverages, spa, other services, and applicable taxes at Taj, SeleQtions, Gateway, Vivanta hotels, and Ama Trails & Stays in India"
YES,gyftr,Taj Hotels J Wellness Circle,taj-wellness-gift-card,yes,,no,"Only at participating J Wellness Circle Spas across Taj, SeleQtions, and Vivanta hotels"
YES,gyftr,Tinder,tinder,yes,,yes,"Tinder premium subscriptions: Plus, Gold, or Platinum"
YES,gyftr,UniPin BGMI,unipin-bgmi,not_stated,,yes,BGMI UC (in-game currency) bought on the UniPin platform
YES,gyftr,Valorant,valorant,yes,,yes,Valorant Points (VP) / Riot Games Virtual Currency
YES,gyftr,Vinzberry,vinzberry,yes,,yes,not_stated
YES,gyftr,Water Bill Payment,water-bill-payment,no,,yes,Services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals
YES,gyftr,Wendy's,wendy's,yes,,yes,"Orders on the EatSure App/Web across Ovenstory, Faasos, Wendy's, Behrouz biryani, Sweet Truth, Lunch Box & The Good Bowl"
YES,gyftr,Wynk Music,wynk-music,not_stated,,not_stated,"Monthly, quarterly & annual Wynk Music subscription packs"
YES,gyftr,Zomato Gift Card,zomato-gift-card,yes,,yes,not_stated
YES,maximize,Amazon,amazon-548,not_stated,,not_stated,not_stated
YES,maximize,Bakingo,bakingo,not_stated,,not_stated,not_stated
YES,maximize,Bata,bata,not_stated,,not_stated,not_stated
YES,maximize,Blinkit,blinkit-749,not_stated,,not_stated,not_stated
YES,maximize,Daily Objects,daily-objects,not_stated,,not_stated,not_stated
YES,maximize,Dominos,dominos-507,not_stated,,not_stated,not_stated
YES,maximize,EA Sports,ea-sports,not_stated,,not_stated,not_stated
YES,maximize,Fashion Factory,fashion-factory,yes,,no,not_stated
YES,maximize,FlixBus,flixbus,not_stated,,not_stated,not_stated
YES,maximize,Hush Puppies - Fixed,hush-puppies-fixed,not_stated,,not_stated,not_stated
YES,maximize,Lenskart,lenskart,not_stated,,not_stated,not_stated
YES,maximize,Myntra,myntra,not_stated,,not_stated,not_stated
YES,maximize,Reliance Jio Mart,reliance-jio-mart,not_stated,,not_stated,not_stated
YES,maximize,Skinn,skinn,not_stated,,not_stated,not_stated
YES,maximize,Snitch,snitch,not_stated,,not_stated,not_stated
YES,maximize,Soch,soch,not_stated,,not_stated,not_stated
YES,maximize,Starbucks,starbucks,not_stated,,not_stated,not_stated
YES,maximize,Steam Wallet INR 150,steam-wallet-inr-150,not_stated,,not_stated,not_stated
YES,maximize,Steam Wallet INR 1680,steam-wallet-inr-1680,not_stated,,not_stated,not_stated
YES,maximize,Steam Wallet INR 500,steam-wallet-inr-500,not_stated,,not_stated,not_stated
YES,maximize,Steam Wallet INR 975,steam-wallet-inr-975,not_stated,,not_stated,not_stated
YES,maximize,TATA CLiQ Fashion,tata-cliq-fashion,not_stated,,not_stated,not_stated
YES,maximize,Tata CliQ Luxury,tata-cliq-luxury,not_stated,,not_stated,not_stated
YES,maximize,Third Wave Coffee,third-wave-coffee,not_stated,,not_stated,not_stated
YES,maximize,Trends Women,trends-women,not_stated,,not_stated,not_stated
YES,maximize,Unipin,unipin,not_stated,,not_stated,not_stated
YES,maximize,Yatra,yatra,not_stated,,not_stated,not_stated
YES,maximize,Zomato,zomato,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,109F,109f-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Absolute Barbecues,absolute-barbecues-gift-card,no,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Adani Meet and greet,adani-meet-and-greet-gift-card,not_stated,,yes,Adani meet & greet service bookings on the Adani One app or official website
no (BuyHatke sells 1 per checkout),buyhatke,Aeropostale In Store,aeropostale-(in-store)-gift-card,yes,,no,MRP products only during EOSS and promotions at local stores
no (BuyHatke sells 1 per checkout),buyhatke,Ajio,ajio-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Ajio Luxe,ajio-luxe-gift-card,no,,yes,Eligible AJIO Luxe products only
no (BuyHatke sells 1 per checkout),buyhatke,Allen Solly In Store,allen-solly-(in-store)-gift-card,yes,,no,Merchandise at participating Allen Solly exclusive stores only
no (BuyHatke sells 1 per checkout),buyhatke,Amazon Fresh,amazon-fresh-gift-card,not_stated,,yes,Products listed on the Amazon Fresh page
no (BuyHatke sells 1 per checkout),buyhatke,Amazon Pay,amazon-pay-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Amazon Prime,amazon-prime-gift-card,yes,,yes,"Prime memberships (3/12 months, Prime Lite/Shopping Edition) or Amazon Pay Anytime Gift Cards"
no (BuyHatke sells 1 per checkout),buyhatke,Amazon Prime Lite Edition,amazon-prime-lite-edition-gift-card,yes,,yes,"Amazon Prime memberships (3/12 months, Prime Lite, Prime Shopping edition) or Amazon Pay Anytime Gift Cards on Amazon.in"
no (BuyHatke sells 1 per checkout),buyhatke,Amazon Prime Shopping Edition,amazon-prime-shopping-edition-gift-card,yes,,yes,"Amazon Prime memberships (3-months, 12-months, Prime Lite, Prime Shopping Edition) or Amazon Pay Anytime Gift Cards"
no (BuyHatke sells 1 per checkout),buyhatke,Amazon Shopping,amazon-shopping-gift-card,not_stated,,yes,All physical goods purchases on Amazon.in
no (BuyHatke sells 1 per checkout),buyhatke,American Eagle,american-eagle-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Anita Dongre,anita-dongre-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Apollo Diagnostics,apollo-diagnostics-gift-card,yes,,yes,Apollo Diagnostics mobile app only
no (BuyHatke sells 1 per checkout),buyhatke,Apollo Healing,apollo-healing-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Appreciate (1 Day Wait),appreciate-(1-day-wait)-gift-card,yes,,yes,"Appreciate App, Android users only"
no (BuyHatke sells 1 per checkout),buyhatke,Assembly,assembly-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,AZA Fashions,aza-fashions-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Baazar Kolkata (In Store),baazar-kolkata-(in-store)-gift-card,yes,,no,not_stated
