"Merchant","Category","Campaign Type","Payout Structure","Campaign Status","Tracking Link"
"1mg","Health & Beauty,Medical &..","CPA","Upto ₹187.5 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.1mg.com/"
"5paisa App","Banking & Finance","CPR","Flat ₹32 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.5paisa.com"
"9ShineLabel","Fashion","CPS","Flat 36% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.9shineslabel.com/"
"ABCD Gold App ","Banking & Finance","CPL_LEAD","Flat ₹42 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl_lead&url=https://play.google.com/store/apps/details?id=com.adityabirlacapitaldigital.OneApp"
"ABCD Payment App","Banking & Finance","CPR","Flat ₹30 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.adityabirlacapital.com/"
"Ace Blend","Health & Beauty","CPS","Upto  9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.aceblend.com/"
"Acer","Electronics","CPS","Flat 2.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://store.acer.com/en-in/"
"Acko (Bike)","Online Services","CPM","Flat 32% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpm&url=https://www.acko.com/lp/new-bike/"
"Acko (Car) ","Online Services","CPM_CAR","Upto 32% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpm_car&url=https://www.acko.com/lp/new-car-comprehensive"
"Acko Health Insurance","Online Services","CPA","Flat ₹5000 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.acko.com/p/health/semBuyV3"
"Adani Train","Travel","CPS_TRAIN","Flat ₹32 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps_train&url=https://www.adanione.com/trains"
