Platform,Brand,Biggest card,Saving %,What the terms do say,URL
buyhatke,Absolute Barbecues,5000,9.14,talks about BALANCE reuse over time,https://buyhatke.com/gift-cards/absolute-barbecues-gift-card
buyhatke,Foxtale,5000,20.88,talks about BALANCE reuse over time,https://buyhatke.com/gift-cards/foxtale-gift-card
buyhatke,Neemans,2000,9.13,talks about BALANCE reuse over time,https://buyhatke.com/gift-cards/neemans-gift-card
buyhatke,Nua Women,2000,23.78,talks about BALANCE reuse over time,https://buyhatke.com/gift-cards/nua-women-gift-card
buyhatke,Philips,5000,8.39,talks about BALANCE reuse over time,https://buyhatke.com/gift-cards/philips-gift-card
buyhatke,Skullcandy,5000,16.88,talks about BALANCE reuse over time,https://buyhatke.com/gift-cards/skullcandy-gift-card
buyhatke,Urban Space,5000,6.99,talks about BALANCE reuse over time,https://buyhatke.com/gift-cards/urban-space-gift-card
buyhatke,Apollo Diagnostics,5000,9.98,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/apollo-diagnostics-gift-card
buyhatke,Apollo Healing,5000,10.88,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/apollo-healing-gift-card
buyhatke,Blissclub,5000,12.64,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/blissclub-gift-card
buyhatke,Boat,2000,6.13,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/boat-gift-card
buyhatke,BrainGymJr,1490,12.09,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/braingymjr-gift-card
buyhatke,CLAYCO,2000,16.77,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/clayco-gift-card
buyhatke,Chicago Pizza In Store,5000,13.88,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/chicago-pizza-(in-store)-gift-card
buyhatke,Discovery Plus,499,37.17,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/discovery-plus-gift-card
buyhatke,Finusmart,1000,13.88,"talks about stacking with OFFERS, not vouchers",https://buyhatke.com/gift-cards/finusmart-gift-card
