Brand Name,Slug,Redemption Type,Default Discount %,Best Discount %,Payment Method for Best Discount,Denominations Available,Online/Offline,T&Cs Summary
Archies Gallery,archies-gallery,B,15,15,PAYTM UPI,100 / 250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Both,Archies Insta Gift Vouchers are accepted both at outlets and online. Multiple Vouchers can be used a
Bata,bata,OFF,7,7,PAYTM UPI,2000 / 3000 / 4000 / 5000 / 2000-5000 (custom) / 100-10000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
TGIF,tgif,OFF,6,6,PAYTM UPI,100 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers C
Pizza Hut,pizza-hut,B,8.5,8.5,PAYTM UPI,100 / 250 / 500 / 1000 / 2000,Both,"Accepted at all listed stores, the mobile app, and www.pizzahut.co.in. Use up to 5 GVs/GCs in-store,"
Costa Coffee,costa-coffee,OFF,3,3,PAYTM UPI,100 / 250 / 500 / 1000,Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers a
KFC,kfc,B,3,3,PAYTM UPI,500 / 1000,Both,Gift Vouchers are accepted at all Listed Outlets and on the website at online.kfc.co.in/home Single 
Ferns N Petals,ferns-n-petals,ON,18,18,PAYTM UPI,500 / 1000 / 2000,Online,Gift Vouchers CAN be redeemed ONLY on https://www.fnp.com/ & App. Only one Gift Vouchers CAN be used
Baskin Robbins,baskin-robbins,OFF,17,17,PAYTM UPI,50 / 250 / 500 / 100-10000 (custom),Offline,Gift Vouchers CANNOT be used Online. Multiple GVs CAN be combined and added to the e-Pay balance. Gi
Hidesign,hidesign,B,9,9,PAYTM UPI,250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Both,Gift Vouchers CANNOT be used Online. Gift Vouchers CAN be used during Sale Multiple Gift Vouchers CA
Croma,croma,B,2,2,PAYTM UPI,500 / 2000 / 3000 / 10000,Both,GV/GC can be accepted at all Listed Outlets and on the website at https://www.croma.com/. Maximum 5 
Home Centre,home-centre,OFF,4.5,4.5,PAYTM UPI,1000 / 2000,Offline,Gift Vouchers CAN be used to buy discounted products. Multiple Gift Vouchers CAN be used in one bill
Levis,levis,B,0,0,,250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Both,GV/GC CAN be used Online & at listed stores. GV/GC will not be accepted on Discounted Articles durin
PANTALOONS,pantaloons,OFF,7,7,PAYTM UPI,500 / 1000 / 2000 / 5000 / 7500 / 100-10000 (custom),Offline,GV/GC can be redeemed for any product at participating pantaloons stores across India. More than one
The Raymond Shop,the-raymond-shop,OFF,10,10,PAYTM UPI,500 / 1000 / 2000 / 5000 / 100-10000 (custom) / 100-20000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
Bobbi Brown,bobbi-brown,OFF,10,10,PAYTM UPI,1000 / 2000,Offline,Gift Vouchers CAN Only be used at listed outlets Gift Vouchers CAN be used to buy discounted product
Mac,mac,OFF,0,10,UPI,,Offline,Gift Vouchers CAN Only be used at listed outlets Gift Vouchers CAN be used to buy discounted product
Mainland China,mainland-china,OFF,0,0,,250 / 500 / 1000 / 2000 / 5000,Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers C
SIGREE,sigree,OFF,0,0,,250 / 500 / 1000 / 2000 / 5000,Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers C
Oh! Calcutta,oh-calcutta,OFF,0,0,,250 / 500 / 1000 / 2000 / 5000,Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers C
Sweet Bengal,sweet-bengal,OFF,12,12,PAYTM UPI,250 / 500,Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers C
Myntra,myntra,ON,4.5,4.5,PAYTM UPI,100 / 250 / 500 / 1000 / 2000 / 3000 / 5000 / 7500 / 10000,Online,Gift Vouchers CAN be used Online at myntra.com & Myntra App Multiple Gift Voucher CAN be used in one
Titan,titan,OFF,8,8,Credit Card,100-10000 (custom),Offline,This Voucher can be redeemed at all company authorized TITAN WORLD Stores. Multiple vouchers (upto 5
Fastrack,fastrack,OFF,8,8,PAYTM UPI,500 / 1000 / 2000 / 5000,Offline,This voucher can be redeemed at all company authorized FASTRACK Stores. Voucher Partial redemption i
Westside,westside,OFF,0,0,,250 / 500 / 1000 / 2000 / 5000,Offline,The GV/GC can be used at all listed Westside stores. The GV/GC CANNOT be used Online. Multiple GV ca
Prestige,prestige,B,0,0,,100-10000 (custom),Both,Gift Vouchers CAN be used to buy discounted products. Multiple Gift Vouchers CAN be used in one bill
William Penn,william-penn,OFF,6,6,PAYTM UPI,1000 / 2000 / 5000 / 100-10000 (custom),Offline,Multiple Gift Cards CAN be used in one bill Gift Cards CAN be used during sale Gift Cards are ACCEPT
Woodland,woodland,B,10,10,PAYTM UPI,250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Both,Gift Vouchers are ACCEPTED on the website all listed outlets. Gift Vouchers CAN be used during Sale.
Hush Puppies,hush-puppies,OFF,7,7,PAYTM UPI,3000 / 4000 / 5000 / 6000 / 7000 / 7500 / 100-10000 (custom),Offline,Gift Vouchers are ACCEPTED at all Listed Outlets. Gift Vouchers CAN be used during Sale. A maximum o
Lifestyle,lifestyle,OFF,4.5,4.5,PAYTM UPI,1000 / 5000,Offline,Gift Vouchers CAN be used to buy discounted products. Multiple Gift Vouchers CAN be used in one bill
Shoppers Stop,shoppers-stop,B,0,0,,2000 / 5000 / 10000,Both,Gift Vouchers CAN be used both ONLINE and OFFLINE . Gift Vouchers CAN be used to buy discounted prod
Tanishq,tanishq,OFF,0,0,,500 / 1000 / 2000 / 5000 / 10000,Offline,10 vouchers can be used in a single transaction. Gift Vouchers CAN be clubbed with on-going promotio
Helios,helios,OFF,5,5,Credit Card,500 / 1000 / 2000 / 5000,Offline,Gift Vouchers CAN be used at all company authorized HELIOS Stores. Gift Vouchers CANNOT be used duri
Titan Eye Plus,titan-eye-plus,OFF,5,5,Credit Card,500 / 2000,Offline,Gift Vouchers CAN be used at all listed outlets Gift Vouchers CANNOT be used during sale Maximum 5 G
Amazon,amazon,ON,0,0,,250 / 500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 10000,Online,Amazon Pay Gift Cards are valid for 365 days from the date of purchase and carry no fees Receiver ca
Fab Hotels,fab-hotels,ON,10,10,Credit Card,500 / 1000 / 1500 / 2000 / 2500 / 5000 / 100-10000 (custom),Online,Gift Vouchers CAN only be used online at https://bit.ly/36n9Bcl Gift Vouchers CAN be Clubbed with on
Flipkart,flipkart,ON,1.25,1.25,PAYTM UPI,1000 / 2000 / 10000,Online,Gift Cards CAN be used Online at http://bit.ly/2Ntg6D6 & Flipkart App. Gift Cards CAN be used to buy
Reader's Digest,readers-digest,ON,25,25,PAYTM UPI,,Online,The GV/GC would be accepted on the official website only. Only One GV/GC can be used for one subscri
Spencer's Retail,spencers-retail,OFF,5,5,PAYTM UPI,100 / 250 / 500 / 1000 / 2000 / 5000,Offline,Gift Vouchers are ACCEPTED at all listed outlets Multiple Gift Vouchers CAN be used in one bill Gift
Relaxo,relaxo,OFF,8,8,PAYTM UPI,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers C
Crossword,crossword,ON,8,8,PAYTM UPI,250 / 500 / 1000 / 2000 / 250-10000 (custom),Online,The GV/GC will be accepted on the website: crossword.in . GV/e-Pay can be clubbed with existing offe
Kalyan Gold Coins,kalyan-gold-coins,OFF,0,0,,,Offline,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be clubbed with on-going promotion
PC Jeweller Gold Coin,pc-jeweller-gold-coin,OFF,0,0,,1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Offline,Gift voucher can be used at listed PC Jeweller outlets. Multiple Gift voucher can be used in one bil
Aurelia,aurelia,OFF,10,10,PAYTM UPI,100-10000 (custom),Offline,Gift Vouchers CAN Only be used at listed outlets Gift Vouchers CAN be used to buy discounted product
W,w,OFF,10,10,PAYTM UPI,100-10000 (custom),Offline,Gift Vouchers CAN Only be used at listed outlets Gift Vouchers CAN be used to buy discounted product
Kalyan Gold Jewellery,kalyan-gold-jewellery,OFF,2,2,PAYTM UPI,,Offline,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be clubbed with on-going promotion
Kalyan Diamond Jewellery,kalyan-diamond-jewellery,OFF,3,3,PAYTM UPI,,Offline,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be clubbed with on-going promotion
PC Jeweller Gold,pc-jeweller-gold,OFF,0,0,,1000 / 2000 / 5000 / 100-10000 (custom),Offline,Gift voucher can be used at listed PC Jeweller outlets. Multiple Gift voucher can be used in one bil
PC Jeweller Diamond,pc-jeweller-diamond,OFF,0,0,,500 / 2000 / 100-10000 (custom),Offline,Gift voucher can be used at listed PC Jeweller outlets. Multiple Gift voucher can be used in one bil
Kama Ayurveda,kama-ayurveda,B,0,0,,100-10000 (custom),Both,GV/GC added to Epay Wallet cannot be used on the online website You can use multiple GV/GC in one bi
BIBA,biba,ON,8,8,PAYTM UPI,250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,Gift Vouchers CAN Only be used online at http://bit.ly/2V6cESH Gift Vouchers CAN be clubbed with any
PVR,pvr,ON,18,18,PAYTM UPI,500 / 750 / 1000 / 2000 / 2500 / 5000,Online,Gift Vouchers CAN be used ONLINE at www.pvrcinemas.com & PVR Cinemas Mobile App Gift Vouchers CAN be
GyFTR PAY,gyftr-pay,ON,0,0,,250 / 500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Online,
OLA CABS,ola-cabs,ON,0,0,,50 / 100 / 150 / 500,Online,Gift voucher CAN only be used online on OLA APP. This is a One-time use GV / GC. The GV/GC cannot be
Beer Cafe,beer-cafe,OFF,5,5,PAYTM UPI,100 / 250 / 500 / 1000 / 2000 / 100-20000 (custom) / 100-10000 (custom),Offline,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers C
Puma,puma,OFF,10,10,PAYTM UPI,500 / 1000 / 1500 / 2000 / 5000 / 10000,Offline,Gift Vouchers CAN Only be used at listed Puma outlets Gift Vouchers CAN be clubbed with on-going pro
Points for Good,points-for-good,ON,0,0,,100 / 250 / 500 / 100-10000 (custom),Online,Donation voucher CAN only be used at www.pointsforgood.org Only&nbsp;ONE&nbsp;Donation Voucher can b
Apollo Pharmacy,apollo-pharmacy,B,8,8,PAYTM UPI,500 / 1000 / 2000 / 2500 / 5000,Both,The GV/GC is redeemable on the mobile app as well as at Apollo Pharmacy offline stores. The GV/GC ca
Luxe Gift Card,luxe-gift-card,OFF,10,10,Credit Card,1000 / 2000 / 2500 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
The Body Shop,the-body-shop,B,3,3,PAYTM UPI,100-10000 (custom),Both,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers are at The Body Shop Outlets and their
BigBasket,bigbasket,ON,3,3,PAYTM UPI,250 / 500 / 1000 / 2000,Online,GV/GC CAN be used on the Bigbasket App. Multiple Gift Vouchers CAN be used in one bill. Gift Voucher
UBER,uber,ON,3,3,PAYTM UPI,100 / 250 / 500 / 1000,Online,Gift voucher CAN be used on both Uber APP & Website. Multiple Gift voucher CAN be used in one transa
Jockey,jockey,ON,13,13,PAYTM UPI,250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,Jockey GV/e-Pay can only be redeemed online at www.jockey.in . Multiple GVs can be combined in one b
Ketan Diamonds Gold Jewellery,ketan-diamonds-gold-jewellery,ON,8,8,PAYTM UPI,100-10000 (custom),Online,Multiple Gift Vouchers CAN be used in one transaction. Gift Vouchers are only ACCEPTED online at&nbs
Ketan Diamonds Gold Coin,ketan-diamonds-gold-coin,ON,3,3,PAYTM UPI,100-10000 (custom),Online,Multiple Gift Vouchers CAN be used in one transaction. Gift Vouchers are only ACCEPTED online at&nbs
Armani Exchange-Luxe Gift Card,luxe-gift-card-armani-exchange,B,0,0,,1000 / 2000 / 5000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Diesel- Luxe Gift Card,luxe-gift-card-diesel,B,10,10,Credit Card,1000 / 2000 / 5000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Coach-Luxe Gift Card,luxe-gift-card-coach,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
GAS-Luxe Gift Card,luxe-gift-card-gas,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Hamleys-Luxe Gift Card,luxe-gift-card-hamleys,B,10,10,Credit Card,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Hugo Boss-Luxe Gift Card,luxe-gift-card-hugo-boss,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Michael Kors-Luxe Gift Card,luxe-gift-card-michael-kors,OFF,0,0,,1000 / 2000 / 2500 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Satya Paul- Luxe Gift Card,luxe-gift-card-satya-paul,B,0,0,,1000 / 2000 / 5000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Mothercare-Luxe Gift Card,luxe-gift-card-mothercare,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Superdry-Luxe Gift Card,luxe-gift-card-superdry,B,13,13,PAYTM UPI,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Steve Madden-Luxe Gift Card,luxe-gift-card-steve-madden,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Zee5,zee5,ON,19,19,PAYTM UPI,799 / 1699,Online,Gift Vouchers CAN Only be used at https://www.zee5.com/ and the Zee5 application. Only 1 Gift Vouche
The Man Company,the-man-company,ON,16,16,PAYTM UPI,250 / 500 / 1000 / 2000,Online,The GV/GC CAN be used Online at www.themancompany.com Multiple Gift Vouchers CAN be combined & added
Candere Gold Coin,candere-gold-coin,ON,0,0,,500 / 100-10000 (custom),Online,Multiple Gift Vouchers CAN be used in one transaction. Gift Vouchers are only accepted online at&nbs
Candere Gold Jewellery,candere-gold-jewellery,ON,3,3,PAYTM UPI,500 / 1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Online,Multiple Gift Vouchers CAN be used in one transaction. Gift Vouchers are only accepted online at&nbs
Candere Diamond Jewellery,candere-diamond-jewellery,ON,7,7,PAYTM UPI,500 / 1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Online,Multiple Gift Vouchers CAN be used in one transaction. Gift Vouchers are only accepted online at&nbs
Skullcandy,skullcandy,ON,10,10,PAYTM UPI,1000 / 2000 / 3000 / 5000 / 100-10000 (custom),Online,This is a Skullcandy Insta Gift Voucher (GV) and would be accepted on https://shop.brandeyes.in Mult
Netmeds,netmeds,ON,10,10,Credit Card,250 / 500 / 1000 / 1500 / 2000 / 100-10000 (custom),Online,GV/GC will be accepted on Netmeds App and Website. GV/GC entitles customers to order medicines ONLY.
Elleven,elleven,OFF,0,0,,500 / 2000,Offline,Gift Vouchers CAN Only be used at listed outlets Gift Vouchers CAN be used to buy discounted product
Fastag Recharge,fastag-recharge,ON,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/fastag-recharge GV
SonyLiv,sonyliv,ON,40,40,PAYTM UPI,299 / 399 / 699 / 999,Online,Gift Vouchers CAN Only be used at https://www.sonyliv.com/ and their app. Only 1 Gift Voucher can be
MAX,max,OFF,8,8,PAYTM UPI,500 / 1000 / 2000,Offline,Gift Vouchers CAN be used to buy discounted products. Multiple Gift Vouchers CAN be used in one bill
Seniority,seniority,ON,0,0,,,Online,Multiple GV cannot be used in one bill/transaction. This is a ONE time use GV with an expiration dat
Skechers,skechers,B,10,10,PAYTM UPI,500 / 1000 / 2000 / 5000 / 100-10000 (custom) / 100-20000 (custom),Both,GV/GC would be accepted online at https://www.skechers.in/ & listed outlets. Multiple GV can be used
Decathlon,decathlon,B,4,4,PAYTM UPI,500 / 1000 / 2000 / 5000,Both,"A Decathlon Omni Gift Card can be redeemed at listed outlets , online at www.decathlon.in & Decathlo"
TATA CLiQ,tata-cliq,ON,9,9,PAYTM UPI,500 / 1000 / 2000 / 5000 / 7500 / 10000,Online,The GV/GC can be accepted on&nbsp;their Website (&nbsp; www.tataCLiQ.com and&nbsp;&nbsp; luxury.tata
DocuBay,docubay,ON,0,0,,,Online,The GV/GC would be accepted on https://www.docubay.com/. Only one GV / GC can be used in one bill/tr
Malabar Gold Coin,malabar-gold-coin,B,2,3,UPI,2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100000,Both,Gift Vouchers are ACCEPTED at Listed Outlets. Gift Vouchers CAN be used on the official Malabar webs
Brooks Brothers -Luxe Gift Card,luxe-gift-card-brooks-brothers,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Emporio Armani- Luxe Gift Card,luxe-gift-card-emporio-armani,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Scotch & Soda -Luxe Gift Card,luxe-gift-card-scotch-soda,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
 Paul Smith- Luxe Gift Card,luxe-gift-card---paul-smith,OFF,0,0,,1000 / 2000 / 5000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Dune-Luxe Gift Card,luxe-gift-card---dune,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
Ketan Diamonds Diamond Only,ketan-diamonds-diamond-only,ON,13,13,Credit Card,1000 / 2000 / 100-10000 (custom),Online,
Euphoria Jewellery Gold Coin,euphoria-jewellery-gold-coin,ON,4,4,PAYTM UPI,250 / 500 / 2000 / 10000 / 100-10000 (custom),Online,Multiple Gift Vouchers can be used in 1 bill. Gift Vouchers can be clubbed with on-going promotions 
Lifestyle Online,lifestyle-online,ON,8,8,PAYTM UPI,1000 / 2000,Online,This is a 16-digit gift card which comes with a 4-digit pin E-Gift Cards are redeemable only through
Taneira,taneira,OFF,8,8,PAYTM UPI,500 / 1000 / 2000 / 5000,Offline,Taneira Gift Voucher would be accepted at listed Taneira Stores Multiple vouchers can be used agains
Swiggy Money Voucher,swiggy-gv,ON,0,0,,200,Online,GV/GC would be accepted only on the Swiggy App GV/GC can be used to buy discounted products In case 
Taj Experiences,taj-hotels,OFF,10,10,PAYTM UPI,1000 / 2000 / 2500 / 3000 / 5000 / 10000,Offline,"The cards can be redeemed at Taj, SeleQtions, Gateway, Vivanta hotels, and Ama Trails & Stays in Ind"
Vijay Sales,vijay-sales,OFF,2.5,2.5,PAYTM UPI,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,This is a Vijay Sales Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted at the stores M
Healthians,healthians,ON,15,15,Credit Card,250 / 500 / 1000 / 100-10000 (custom),Online,Healthians Insta Gift Voucher would be accepted on the website at www.Healthians.com Multiple vouche
Mia,mia,OFF,0,0,,5000 / 10000,Offline,This is a one-time use GV/GC. The GV/GC can be clubbed with ongoing offers. Multiple GV/GCs can be u
Skinn,skinn,OFF,0,0,,500 / 1000 / 2000,Offline,A maximum of 5 Gift Vouchers CAN be used in one bill. Not valid for in-store offers Gift Vouchers ar
Titan Minimals,titan-minimals,OFF,7,7,PAYTM UPI,500 / 1000 / 2000,Offline,A Maximum of 5 Gift vouchers can be clubbed for a single purchase Not valid for in-store offers Gift
Fastrack Bags,fastrack-bags,OFF,0,0,,500 / 1000 / 2000,Offline,A maximum of 5 Gift Vouchers CAN be used in one bill. Not valid for in-store offers Gift Vouchers ar
Chumbak,chumbak,OFF,13,13,PAYTM UPI,250 / 500 / 1000 / 2000 / 100-10000 (custom),Offline,Gift Vouchers are ACCEPTED at all Listed Outlets. Multiple vouchers can be used against one bill. Fo
Hoichoi,hoichoi,ON,0,0,,999,Online,Gift Vouchers CAN Only be used at https://www.hoichoi.tv/redeem Only 1 Gift Voucher can be used in o
GIVA,giva,B,13,13,PAYTM UPI,500 / 1000 / 1500 / 2500,Both,This is a GIVA Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted on the listed outlets 
Reliance My Jio Store,reliance-my-jio-store,OFF,0,0,,250 / 500 / 1000 / 2000 / 5000,Offline,Gift Vouchers CAN be used to buy discounted products This is a one-time use GV/GC. Multiple Gift Vou
