Brand Name,Slug,Redemption Type,Discount % (Credit/Debit Card),Discount % (Net Banking),Discount % (UPI),Discount % (Paytm UPI),Discount % (Amazon Pay),Denominations Available,Online/Offline,How to Redeem,T&Cs Summary
Archies Gallery,archies-gallery,B,12,12,15,15,,100 / 250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Both,,Archies Insta Gift Vouchers are accepted both at outlets and online. Multiple Vouchers can be used against one bill. Partial Redemption of Gift Voucher is not allowed at the outlet.
Bata,bata,OFF,5,5,7,7,5,2000 / 3000 / 4000 / 5000 / 2000-5000 (custom) / 100-10000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gift Voucher/e-Pay CAN be used during the Sale. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
TGIF,tgif,OFF,5,,6,6,,100 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be used during Happy Hours. Gift Vouchers CANNOT be used for Meal Combos. Gift Vouchers are ACCEPTED at all Listed Outlets.
Pizza Hut,pizza-hut,B,7,7,8.5,8.5,,100 / 250 / 500 / 1000 / 2000,Both,,"Accepted at all listed stores, the mobile app, and www.pizzahut.co.in. Use up to 5 GVs/GCs in-store, but only 1 for online/mobile purchases. This is a one-time use GV/GC."
Costa Coffee,costa-coffee,OFF,1,1,3,3,,100 / 250 / 500 / 1000,Offline,,Gift Vouchers CANNOT be used Online. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers are ACCEPTED at all Listed Outlets.
KFC,kfc,B,2,,3,3,,500 / 1000,Both,,Gift Vouchers are accepted at all Listed Outlets and on the website at online.kfc.co.in/home Single GV / GC can be used in one bill against online redemption. Multiple Gift Vouchers CAN be used in one bill at the outlet (offline redemption). This is a ONE time use GV / GC.
Ferns N Petals,ferns-n-petals,ON,16,16,18,18,16,500 / 1000 / 2000,Online,,Gift Vouchers CAN be redeemed ONLY on https://www.fnp.com/ & App. Only one Gift Vouchers CAN be used against one bill. Gift Vouchers CANNOT be used multiple times. Gift Vouchers CANNOT be used directly at FnP Outlets.
Baskin Robbins,baskin-robbins,OFF,15,15,17,17,15,50 / 250 / 500 / 100-10000 (custom),Offline,,Gift Vouchers CANNOT be used Online. Multiple GVs CAN be combined and added to the e-Pay balance. Gift Vouchers are ACCEPTED at all Listed Outlets.
Hidesign,hidesign,B,7.5,,9,9,,250 / 500 / 1000 / 2000 / 5000 / 100-10000 (custom),Both,,Gift Vouchers CANNOT be used Online. Gift Vouchers CAN be used during Sale Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers are ACCEPTED at all Listed Outlets.
Croma,croma,B,1,1,2,2,,500 / 2000 / 3000 / 10000,Both,,GV/GC can be accepted at all Listed Outlets and on the website at https://www.croma.com/. Maximum 5 vouchers can be used in one bill on Croma website. Multiple Gift Vouchers CAN be used in one bill at the Stores. Gift Vouchers CAN be used to buy discounted products.
