Brand Group,Product Name,Maximize ID,URL,Status,Redemption Type,Denominations,Custom Amount,Custom Range,Qty Cap/Order,Discount (UPI),Discount (Debit Card),Discount (Credit Card),Discount (CC on UPI),Discount (Diners Club),Discount (Amex),Best Method,Best Discount %,Multi-Use,Can Club w/ Offers,Cards Stackable,Validity,How To Redeem,Terms & Conditions,Last Scraped
BGMI,BGMI,1061,https://www.maximize.money/gift-cards/BGMI/1061,active,Online,380 / 750 / 1900 / 3800 / 7500 / 16300 / 380,No,,,8.5% off / 8.75% earn,7.25% off / 7.5% earn,6.6% off / 6.85% earn,6.15% off / 6.4% earn,6.25% off / 6.5% earn,6.25% off / 6.5% earn,UPI,8.5,No,No,No,Valid upto 12 Months from purchase,"Visit swag.gg/bgmi and log in to your Swag account. | Enter your BGMI User ID. | Go to the section “Have a BGMI Gift Voucher Code?” | Enter the Voucher Code and PIN. | The corresponding UC pack will be automatically selected. | Confirm the redemption request. | UC will be credited directly to your BGMI account, usually instantly.","300 UC + 60 Bonus UC — ₹380 | 600 UC + 120 Bonus UC — ₹750 | 1500 UC + 450 Bonus UC — ₹1,900 | 3000 UC + 1050 Bonus UC — ₹3,800 | 6000 UC + 2400 Bonus UC — ₹7,500 | 13040 UC + 5140 Bonus UC — ₹16,300 | Voucher can only be redeemed online on Swag. | A Swag account is mandatory for redemption. | Voucher is valid for 12 months from the date of issue. | Expired vouchers cannot be redeemed or refunded. | Each voucher can only be redeemed once. | Partial redemption is not allowed. | Full voucher value must be redeemed in a single transaction. | Multiple vouchers cannot be clubbed in one order. | Voucher cannot be combined with cashback, discounts, or promotional offers. | UC is credited directly to the BGMI account linked to the entered User ID. | Incorrect BGMI User ID entries are the user's responsibility. | UC delivery is usually instant but may take up to 24 hours. | Voucher codes and PINs should be kept confidential. | Lost, stolen, or shared vouchers will not be replaced or reissued. | Voucher is for personal use only and cannot be resold or transferred. | UC has no real-world cash value and cannot be withdrawn or exchanged. | Swag and associated entities reserve the right to cancel vouchers in cases of suspected fraud or misuse. | For redemption issues, users should contact Swag support within 7 days.",2026-07-26
BAGLINE,BAGLINE,588,https://www.maximize.money/gift-cards/BAGLINE/588,active,Online,1000 / 2500 / 5000 / 10000,No,,4,13.25% off / 13.5% earn,12.0% off / 12.25% earn,11.35% off / 11.6% earn,10.9% off / 11.15% earn,11.0% off / 11.25% earn,11.0% off / 11.25% earn,UPI,13.25,No,No,No,Valid for upto 12 months,Purchase the e-gift card and receive it via Email/SMS. Use the unique card number during online checkout.,"This Gift card is redeemable online only at Bagline.com across all products and brands. | The E-Gift card is emailed to the recipient within 24 hours of purchase. | Partial redemption and clubbing with other gift cards is not allowed. | The E-Gift card is digital only (no physical format). | If the purchase exceeds the value of the gift card, the difference must be paid by the customer. | No refunds or credit notes will be issued for unused portions of the card. | Customers must protect the E-Gift card number to avoid misuse. | No replacement or refund will be provided if the card is lost or compromised. | Bagline reserves the right to alter any or all terms & conditions without prior notice. | E-Gift cards are normally delivered instantly but may take up to 24 hours in case of system delays.",2026-07-26
Bigbasket,Bigbasket,1079,https://www.maximize.money/gift-cards/Bigbasket/1079,active,Online,500 / 750 / 1000 / 1500 / 2000,No,,4,3.75% off / 3.9% earn,2.5% off / 2.65% earn,1.85% off / 2.0% earn,1.4% off / 1.55% earn,1.5% off / 1.65% earn,1.5% off / 1.65% earn,UPI,3.75,Yes,Yes,Yes,Valid for upto 12 months,"Gift Card can be used on BigBasket website, App, and M-site where BigBasket is present. | Click on the link https://www.bigbasket.com/member/gift_cards/. | Enter your Gift Card Code and Gift Card PIN. | The value of the Gift Card gets added to BigBasket Wallet. | Add products to the shopping cart and complete the payment by choosing BigBasket Wallet payment option.","Valid only in cities and PIN codes where BigBasket and BB Now are serviceable. Please check if your location is serviceable before purchasing gift cards. | No returns and no refunds on E-Gift Cards, E-Gift Cards, and eGift vouchers once purchased | Gift Card can be used on BB Now, BigBasket website, App, and M-site. | Gift Card will be valid for a period of up to 12 months from the date of issue. | Entire Gift Card amount will be redeemed and credited to the BigBasket Wallet. After credit, it can be used across multiple orders. | Gift Card is not redeemable for cash or credit. | If the customer misplaces the gift card, BigBasket shall not be responsible to reimburse or refund. | No duplicate will be issued if the Gift Card is lost or misplaced. | Gift Card cannot be re-validated once expired. | The holder of the Gift Card is deemed to be the beneficiary. | Validity period of the Gift Card will not be extended under any circumstances. | Any dispute should be referred to BigBasket and the decision of BigBasket shall be final. | If the Gift Card is purchased in a non-serviceable city, the amount will not be reimbursed or refunded. | E-Gift Cards are normally delivered instantly. But sometimes, due to system issues, delivery can be delayed up to 24 hours. | No returns and no refunds on E-Gift Cards, E-Gift Cards, and eGift vouchers shipped by woohoo.in. Please check the refund policy at http://www.woohoo.in/faq for further details. | Gift Cards cannot be redeemed against Gold and Silver coins on bigbasket",2026-07-26
Bigbasket,Bigbasket (Custom),342,https://www.maximize.money/gift-cards/Bigbasket (Custom)/342,active,Online,100 / 500 / 1000 / 1500 / 2500 / 5000 / 10000,Yes,100-10000,4,3.25% off / 3.5% earn,2.0% off / 2.25% earn,1.35% off / 1.6% earn,0.9% off / 1.15% earn,1.0% off / 1.25% earn,1.0% off / 1.25% earn,UPI,3.25,Yes,No,Yes,Valid for upto 12 months,Gift Card can be used on Bigbasket website App and M site where Bigbasket is present | Click on the link https://www.bigbasket.com/membergiftcards | Enter your Gift Card Code and Gift Card PIN | The value of the Gift Card gets added to bigbasket wallet | Add products to the shopping cart and complete the payment by choosing bigbasket wallet payment option,"Visit https://www.bigbasket.com/sh/1058e or open the bigbasket app, tap the top-right icon, select My Gift Cards, enter the Gift Card Code and PIN, and click Redeem. | The full Gift Card value will be credited to the bigbasket wallet (bbWallet). | Add products to your basket and complete the payment using the bbWallet payment option. | A maximum of 3 Gift Cards per day can be added to one bigbasket account. | Gift Cards are redeemable only on the bigbasket mobile app. | Gift Cards are valid only in select cities and geographical locations where bigbasket operates, subject to availability; if used in a non-serviceable city, the amount will not be reimbursed or refunded. | Gift Cards are valid for up to 12 months from the date of issue and cannot be revalidated after expiry. | The redeemed Gift Card balance can be used across multiple orders but cannot be used for the purchase of gold or silver coins, electronics, products sold by third-party sellers such as café and pharmacy categories, tobacco and tobacco-related products, infant food, infant milk substitutes, feeding bottles, or any other products or categories as determined by bigbasket at its sole discretion. | Gift Cards cannot be redeemed for cash or credited back to the source account. | bigbasket is not responsible for reimbursement, refund, or replacement if a Gift Card is lost or misplaced. | For more details, please refer to the Terms and Conditions available at https://www.bigbasket.com/fp/mobile/terms-and-conditions/ . | bigbasket reserves the right to modify, update, or amend these terms and conditions at any time without prior notice.",2026-07-26
Amazon,Amazon,547,https://www.maximize.money/gift-cards/Amazon/547,active,Online,799 / 799,No,,,15.0% off / 18.75% earn,13.75% off / 17.5% earn,13.1% off / 16.85% earn,12.65% off / 16.4% earn,12.75% off / 16.5% earn,12.75% off / 16.5% earn,UPI,15.0,No,No,No,Valid for upto 12 months,Visit https://www.amazon.in/vouchers | Enter the voucher code in 'Add new' section. | Click on 'Add button' to add voucher.,"Amazon Prime Voucher is issued by Pine Labs Private Limited (Qwikcilver) with Amazon Pay and can be used for Amazon Prime memberships (3/12 months, Prime Lite, Prime Shopping edition) or Amazon Pay Anytime Gift Cards (zero value) on Amazon.in. | The voucher has a validity of 12 months from the date of activation and cannot be transferred or cancelled once issued. | Amazon Prime Voucher cannot be used on Amazon Business accounts. | Credit and Debit Cards issued outside India cannot be used to purchase Amazon Prime Voucher. | The voucher is valid only for new users subscribing to Amazon Prime for the first time. | Amazon Prime Voucher cannot be used for physical or digital products, Global Store items, recharges, bill payments, ticket bookings, financial products, Amazon Pay gift cards, or mixed orders with ineligible items. | Customers with Prime activated via telecom providers (Airtel, Jio, VI, etc.) or Google Play subscriptions are not eligible to redeem this voucher. | Beneficiary can redeem the voucher on https://www.amazon.in/vouchers by applying the 13-digit numeric code, with a maximum balance addition of ₹1799 per voucher. | Amazon Prime Voucher can be redeemed only once per customer, is non-refundable, non-cancellable, and cannot be redeemed for cash or transferred for value. | Pine Labs or Amazon are not responsible if the voucher is lost, stolen, or misused, and terms may be changed anytime; e-gift card delivery may take up to 24 hours, and no returns/refunds are allowed",2026-07-26
Amazon,Amazon,548,https://www.maximize.money/gift-cards/Amazon/548,active,Online,399 / 399,No,,,15.0% off / 17.75% earn,13.75% off / 16.5% earn,13.1% off / 15.85% earn,12.65% off / 15.4% earn,12.75% off / 15.5% earn,12.75% off / 15.5% earn,UPI,15.0,No,No,No,Valid for upto 12 months,Visit https://www.amazon.in/vouchers | Enter the voucher code in 'Add new' section. | Click on 'Add button' to add voucher.,"These terms apply to Amazon Prime Vouchers issued by Pine Labs (Qwikcilver) and co-branded with Amazon Pay (India) Pvt. Ltd. They are prepaid instruments used only for Amazon Prime memberships (3-months, 12-months, Prime Lite, Prime Shopping Edition) or Amazon Pay Anytime Gift Cards (zero value, inactive). | Each voucher is valid for 12 months from activation and cannot be cancelled or transferred once issued. For assistance, reach out to Pine Labs. | Business accounts restriction – Amazon Prime Vouchers cannot be claimed on Amazon Business accounts. | Prime Shopping Edition (PSE) offers unlimited FREE Same-day/One-day delivery, early shopping access, 5% cashback with Amazon Pay ICICI Credit Card, and 5% cashback on Uber rides with Amazon Pay balance. PSE does not include Prime Video, Music, eBooks, or Gaming. Existing Prime members are not eligible for PSE. | Payment restriction – Credit/Debit cards issued outside India cannot be used to purchase these vouchers. | Offer valid for new users only, i.e., customers subscribing to Prime for the first time. | Voucher cannot be used to buy (i) non-eligible products including Global Store items, bill payments, recharges, ticket bookings, financial products, etc., (ii) Amazon Pay preloaded gift cards, or (iii) mixed orders containing ineligible items. | Voucher also cannot be used if Prime is already activated via telecom providers (Airtel, Jio, VI, etc.) or via Google Play subscription. Existing members cannot redeem it for extension/upgrade. | To redeem, beneficiary must apply the 13-digit code at https://www.amazon.in/vouchers and add balance to their account (max ₹1799). Each voucher is single-use only. Prime membership once activated is non-refundable and non-cancellable. Vouchers cannot be encashed, transferred, or redeemed for value. | Lost, stolen, or misused vouchers will not be replaced. Pine Labs/Amazon are not liable. Logos and trademarks belong to Amazon/Pine Labs. Pine Labs may change T&Cs anytime. Delivery of e-vouchers is usually instant but may take up to 24–48 hours due to system delays. No returns or refunds are allowed.",2026-07-26
Amazon,Amazon,549,https://www.maximize.money/gift-cards/Amazon/549,active,Online,1499 / 1499,No,,,15.0% off / 17.75% earn,13.75% off / 16.5% earn,13.1% off / 15.85% earn,12.65% off / 15.4% earn,12.75% off / 15.5% earn,12.75% off / 15.5% earn,UPI,15.0,No,No,No,Valid for upto 6 months,Visit: https://www.amazon.in/vouchers | Enter your 13-digit voucher code in the ‘Add new’ section | Click Add to apply the voucher,"This voucher is issued by Pine Labs Pvt Ltd under the Qwikcilver brand and co-branded with Amazon Pay (India) Pvt Ltd. | Valid for purchasing: Amazon Prime Memberships : 12-month | Amazon Pay Anytime Gift Cards (inactive, zero-value) | Cannot be used to buy: Products on Amazon Global Store | Cannot be used to buy: Recharges, bill payments, ticket bookings, financial products | Cannot be used to buy: Amazon Pay gift cards (pre-loaded) | Cannot be used to buy: Mixed orders (with ineligible items) | Cannot be redeemed: On Amazon Business accounts | Cannot be redeemed: If you have Prime via telecom providers (Airtel, VI, Jio) | Cannot be redeemed: if your current Prime subscription was purchased via Google Play | Redeemable only once per customer | Prime membership once activated cannot be cancelled or refunded | Voucher is non-transferable, non-refundable, and cannot be converted to cash | Cards issued outside India cannot be used to purchase this voucher | Not valid if lost, stolen, or misused - Pine Labs, Amazon, and affiliates are not liable | Valid for 12 months from activation | Pine Labs reserves the right to change terms without notice | Voucher is for individual use and cannot be combined with other Prime subscription methods. | Cannot be reused or extended beyond expiry. | Amazon Prime via this voucher is non-cancellable.",2026-07-26
Amazon,Amazon,1084,https://www.maximize.money/gift-cards/Amazon/1084,active,Online,100 / 500 / 1000 / 2000 / 3000 / 5000 / 8000,Yes,100-10000,3,1.25% off / 1.8% earn,,,,,,UPI,1.25,Yes,Yes,Yes,Valid for upto 12 months,Log in to your Amazon account. | Go to the 'Add Gift Card' section. | Enter the Gift Card code and click 'Add to Account.' | The balance will be added to your account for future purchases.,Redeemable only on Amazon.in. | Cannot be redeemed for cash or combined with other gift cards. | Valid for a specified period from the date of issuance. | Non-transferable and can only be used by the registered account holder. | Any unused balance remains valid until the card expires.,2026-07-26
Amazon,Amazon,448,https://www.maximize.money/gift-cards/Amazon/448,active,Online,200 / 500 / 1000 / 2000 / 5000 / 10000,Yes,100-10000,4,1.5% off / 1.65% earn,0.25% off / 0.4% earn,,,,,UPI,1.5,Yes,No,No,Valid for upto 12 months,"Visit https://www.amazon.in/vouchers. | Enter the voucher code in the ''Add new'' section. | Click on the ‘Add’ button to apply the voucher. | To track your voucher balance, revisit https://www.amazon.in/vouchers. | During checkout on Amazon.in, select Voucher Balance as the payment option. | For full Terms & Conditions, visit T&C Link. | Explore eligible products on the Amazon Fresh Page.","These vouchers are issued by Pine Labs (Qwikcilver) and co-branded with Amazon Pay. | Can only be used to purchase products listed on the Amazon Fresh page on Amazon.in. | Non-transferable and non-cancellable once issued. | International credit/debit cards cannot be used to purchase these vouchers. | To redeem, apply the 13-digit alphanumeric code at amazon.in/vouchers to add the balance to your Amazon.in account. | Valid for 12 months from the date of activation. | Cannot be transferred for value or redeemed for cash. | Lost, stolen, or misused vouchers are the responsibility of the customer; no replacements will be issued. | Delivery is usually instant but may be delayed up to 24–48 hours due to system issues. | Amazon and Pine Labs logos/trademarks used are intellectual properties of their respective owners. | Pine Labs may update these terms anytime without prior notice. | Not valid on Amazon Business marketplace.",2026-07-26
Amazon,Amazon,1083,https://www.maximize.money/gift-cards/Amazon/1083,active,Online,100 / 200 / 500 / 1000 / 2000 / 3000 / 5000 / 8000,Yes,100-10000,3,,,,,,,,,No,No,Yes,Valid for upto 12 months,Visit https://www.amazon.in/addgiftcard. | Enter the 14-digit code to add the balance to your account. | Use the balance during your next purchase.,"Issued by Pine Labs under the brand Qwikcilver. | Can be added to your Amazon Pay balance and used across Amazon.in. | Cannot be used to purchase other gift cards or for certain global store products. | No cap on the number of gift cards that can be added to an account. | The balance remains until fully utilized or expired. | Gift cards, once purchased, cannot be cancelled or refunded | A customer can add a maximum of INR 15,000 worth of Amazon Pay Gift Cards in a calendar month. | Customers may be required to complete additional verification when adding an Amazon Pay Gift Card.",2026-07-26
